x,y,z
263476,56111,6
263452,56096,6
263431,56096,6
263414,56067,6
263396,56070,6
263376,56042,6
273912,44640,5
273919,44676,5
288069,67892,8
288179,68111,6
286476,73990,6
286467,74008,6
286456,74030,6
287147,73103,8
286972,73173,8
286957,73421,8
286955,73453,8
260304,130832,8
260263,130854,8
260227,130874,8
260185,130895,8
260145,130904,8
260099,130914,8
260055,130931,8
260018,130938,8
259994,130944,8
259956,130951,8
259830,131055,8
259794,131058,8
259766,131075,8
259734,131103,8
259714,131134,8
259680,131158,8
259642,131168,8
259603,131150,8
259566,131153,8
259517,131167,8
259483,131194,8
259455,131236,8
259436,131257,8
259407,131294,8
259379,131331,8
259354,131366,8
239521,85084,8
239485,85083,8
239457,85074,8
239427,85078,8
239392,85061,8
238711,85093,8
238682,85093,8
238644,85092,8
238617,85102,8
238569,85097,8
238513,85111,8
238488,85119,8
238460,85129,8
238425,85145,8
238395,85162,8
238372,85177,8
239221,85141,8
239195,85136,8
239168,85133,8
242202,125618,8
271501,149367,6
254860,91952,8
240894,79181,8
240875,79211,6
240852,79240,8
240826,79261,8
240803,79282,8
240774,79298,8
240746,79310,8
240722,79319,8
240699,79328,8
240675,79328,8
240639,79323,8
240607,79326,8
240564,79337,8
240537,79348,8
240513,79369,8
240485,79387,8
287577,70833,6
286518,70682,8
286157,71494,8
286164,71466,8
286172,71443,8
287780,71393,5
287444,71273,6
288122,71030,6
288118,71054,6
288095,71069,6
288065,71119,6
288017,71190,6
287990,71233,6
287930,71320,6
287680,71028,6
287728,71197,6
307818,89235,6
307811,89211,6
307810,89181,6
309183,89865,8
309256,89864,8
309291,89877,8
309369,89916,8
309413,89921,8
309453,89912,8
245033,128876,6
245055,128890,6
245143,128930,8
245423,129222,8
245737,129724,8
244839,128788,8
244826,128813,8
244803,128830,8
244743,128945,8
244801,128873,8
244784,128900,8
244765,128928,8
244823,128837,8
244737,128972,8
244712,128994,8
244707,129021,8
244686,129034,8
244679,129059,8
244661,129081,8
244642,129100,8
244621,129116,8
244601,129131,8
244579,129145,8
244557,129158,8
244536,129167,8
245787,129754,8
245753,129748,8
245818,129749,8
245842,129736,8
245873,129728,8
245907,129724,8
245937,129721,8
245969,129722,8
245997,129735,8
246027,129733,8
246053,129729,8
246083,129724,8
246108,129704,8
246141,129707,8
246160,129690,8
246193,129684,8
246227,129692,8
246263,129680,8
246291,129690,8
246310,129677,8
246338,129679,8
246361,129681,8
246383,129686,8
246402,129695,8
246418,129706,8
246434,129718,8
246448,129734,8
246467,129760,10
246482,129782,8
246507,129813,8
246481,129873,8
246466,129908,8
246448,129955,8
246430,130010,8
246475,130024,8
246475,130063,8
284921,69779,5
259291,95422,8
259272,95432,8
259289,95452,8
259305,95440,8
258837,95230,5
258623,95078,8
259214,95721,8
259233,95724,8
259248,95743,8
259269,95776,8
259231,95704,8
258875,95151,6
258929,95053,6
258738,95171,5
258719,95183,5
258713,95162,5
309226,95108,6
309212,95135,6
309189,95160,6
309160,95184,6
309134,95197,6
309105,95210,6
309076,95222,6
309045,95231,6
309019,95219,6
308995,95230,6
308953,95222,6
308915,95217,6
309076,95287,6
309100,95297,6
309113,95320,6
309020,95272,6
309046,95281,6
309060,95310,6
309057,95340,6
309053,95370,6
309048,95396,6
309028,95420,6
309002,95435,6
308995,95459,6
308996,95489,6
309000,95519,6
257006,56363,5
294574,99310,6
294588,99349,5
301312,95428,10
301350,95432,10
301388,95430,10
301427,95424,10
301459,95403,10
301492,95394,10
301520,95392,10
301550,95408,10
301586,95413,10
301632,95408,10
301679,95414,10
301731,95421,10
301769,95426,10
301813,95434,10
